,Player,Tm,3P,3P%,2P,2P%,FT,FT%,TRB,AST,STL,BLK,PTS,ratings
66,Jaylen Brown,BOS,2.0,0.373,5.5,0.577,3.0,0.747,7.0,2.4,1.1,0.4,19.8,85.0
67,Moses Brown,POR,0.0,0.0,0.8,0.429,0.5,0.5,2.3,0.0,0.3,0.0,2.0,67.0
68,Sterling Brown,MIL,1.0,0.356,1.0,0.404,0.8,0.708,4.1,1.2,0.7,0.1,5.5,74.0
69,Troy Brown,WAS,0.6,0.302,3.0,0.538,1.4,0.783,5.3,2.3,1.3,0.2,9.2,77.0
70,Jalen Brunson,DAL,0.8,0.343,2.6,0.555,1.1,0.756,2.8,3.8,0.5,0.0,8.7,78.0
71,Thomas Bryant,WAS,0.6,0.286,5.1,0.611,2.2,0.736,8.5,2.7,0.4,1.0,13.9,79.0
72,Trey Burke,PHI,0.8,0.435,1.9,0.463,0.6,0.727,1.8,2.8,0.5,0.1,6.8,75.0
73,Alec Burks,GSW,1.5,0.355,3.8,0.476,3.6,0.894,4.5,3.1,1.3,0.3,15.9,77.0
74,Deonte Burton,OKC,0.4,0.263,0.6,0.474,0.2,0.75,1.5,0.3,0.1,0.2,2.6,70.0
75,Jimmy Butler,MIA,0.9,0.282,5.1,0.484,7.5,0.826,6.5,6.6,2.1,0.6,20.4,89.0
76,Bruno Caboclo,MEM,0.2,0.174,1.3,0.558,0.1,0.667,2.2,0.5,0.5,0.6,3.3,72.0
77,Kentavious Caldwell-Pope,LAL,1.2,0.389,2.1,0.521,1.0,0.784,2.2,1.8,0.8,0.1,8.9,74.0
78,Vlatko Čančar,DEN,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,70.0
79,Clint Capela,HOU,0.0,0.0,6.4,0.648,1.2,0.471,14.5,1.2,0.9,2.0,14.0,86.0
80,DeMarre Carroll,SAS,0.2,0.231,0.5,0.4,0.8,0.611,2.3,0.8,0.2,0.2,2.5,75.0
81,Jevon Carter,PHO,0.8,0.364,0.7,0.394,0.3,1.0,2.1,1.7,0.9,0.3,4.0,72.0
82,Vince Carter,ATL,1.2,0.302,0.9,0.46,0.3,0.615,1.9,1.0,0.3,0.4,5.6,73.0
83,Wendell Carter,CHI,0.1,0.158,4.4,0.58,2.6,0.719,9.8,1.0,0.8,0.9,11.7,81.0
84,Michael Carter-Williams,ORL,0.4,0.233,1.5,0.444,1.2,0.71,3.2,2.0,1.1,0.4,5.2,74.0
85,Alex Caruso,LAL,0.7,0.345,1.3,0.522,0.9,0.758,2.1,1.7,1.0,0.3,5.5,74.0
86,Willie Cauley-Stein,GSW,0.0,0.0,3.7,0.566,0.9,0.632,6.4,1.5,1.2,1.4,8.2,79.0
87,Tyson Chandler,HOU,0.0,0.0,0.7,0.765,0.3,0.556,2.8,0.3,0.3,0.4,1.6,73.0
88,Wilson Chandler,BRK,0.3,0.125,2.0,0.667,0.5,1.0,4.8,1.3,0.8,0.3,5.3,75.0
89,Zylan Cheatham,NOP,0.0,0.0,0.5,0.333,0.0,0.0,1.5,0.5,0.0,0.0,1.0,67.0
90,Chris Chiozza,WAS,0.7,0.438,0.3,0.167,0.0,0.0,1.5,2.8,1.0,0.2,2.7,68.0
91,Marquese Chriss,GSW,0.1,0.2,2.4,0.525,2.0,0.803,5.5,1.8,0.6,0.9,7.3,77.0
92,Gary Clark,HOU,0.9,0.326,0.3,0.625,0.4,0.857,2.0,0.7,0.1,0.4,3.9,69.0
93,Brandon Clarke,MEM,0.5,0.433,5.0,0.676,1.2,0.763,5.8,1.2,0.4,0.8,12.7,80.0
94,Jordan Clarkson,CLE,2.0,0.371,2.9,0.509,2.6,0.884,2.4,2.4,0.6,0.3,14.6,79.0
95,Nicolas Claxton,BRK,0.0,0.0,1.2,0.688,0.6,0.417,2.4,1.2,0.1,0.6,3.0,72.0
96,Chris Clemons,HOU,1.3,0.391,0.5,0.6,0.2,0.75,0.7,0.3,0.3,0.2,4.8,74.0
97,John Collins,ATL,1.8,0.458,5.5,0.579,2.2,0.722,9.0,1.3,1.2,2.0,18.7,84.0
98,Zach Collins,POR,1.0,0.429,2.0,0.5,2.0,1.0,4.0,2.0,0.0,0.7,9.0,74.0
99,Mike Conley,UTA,1.8,0.36,2.7,0.369,2.8,0.803,3.3,4.6,0.7,0.2,13.6,81.0
100,Pat Connaughton,MIL,0.7,0.313,1.2,0.63,0.5,0.7,3.7,1.8,0.3,0.5,4.9,75.0
101,Quinn Cook,LAL,0.6,0.324,1.5,0.47,0.2,0.8,1.2,1.5,0.3,0.0,4.9,73.0
102,Tyler Cook,CLE,0.0,0.0,0.8,0.833,0.3,1.0,0.8,0.0,0.2,0.0,2.0,67.0
103,Robert Covington,MIN,1.9,0.333,2.1,0.596,1.8,0.879,5.3,1.0,1.4,0.8,11.8,80.0
104,Allen Crabbe,ATL,0.9,0.288,0.9,0.5,0.4,0.778,2.4,0.9,0.5,0.2,5.0,72.0
105,Torrey Craig,DEN,0.3,0.241,0.8,0.531,0.3,0.538,2.1,0.7,0.3,0.6,3.0,73.0
106,Jae Crowder,MEM,1.9,0.299,1.5,0.517,1.6,0.75,6.0,2.9,0.9,0.4,10.5,75.0
107,Jarrett Culver,MIN,0.8,0.24,2.3,0.444,0.8,0.434,3.2,2.0,0.8,0.5,7.9,74.0
108,Seth Curry,DAL,1.7,0.4,1.7,0.556,1.4,0.927,2.1,1.9,0.5,0.1,9.9,78.0
109,Stephen Curry,GSW,2.3,0.243,4.5,0.621,4.5,1.0,5.0,6.5,1.3,0.5,20.3,95.0
110,Troy Daniels,LAL,1.1,0.342,0.6,0.481,0.2,0.571,1.2,0.3,0.3,0.0,4.6,72.0
111,Anthony Davis,LAL,1.1,0.298,8.7,0.546,7.2,0.855,9.4,3.3,1.4,2.7,27.9,96.0
112,Ed Davis,UTA,0.0,0.0,0.6,0.393,0.2,0.444,4.3,0.4,0.5,0.4,1.4,73.0
113,Terence Davis,TOR,1.1,0.405,1.2,0.529,0.7,0.955,2.8,1.9,0.4,0.2,6.5,76.0
114,Dewayne Dedmon,SAC,0.5,0.229,1.5,0.579,0.5,0.846,4.0,0.4,0.4,0.5,5.0,73.0
115,Matthew Dellavedova,CLE,0.2,0.109,0.7,0.526,0.7,0.95,1.4,2.6,0.4,0.0,2.6,71.0
116,DeMar DeRozan,SAS,0.2,0.263,7.8,0.519,4.7,0.814,5.3,4.9,1.0,0.4,20.9,85.0
117,Cheick Diallo,PHO,0.1,1.0,2.2,0.688,0.9,0.857,2.8,0.5,0.1,0.2,5.5,75.0
118,Hamidou Diallo,OKC,0.2,0.154,3.7,0.557,0.9,0.611,3.8,0.8,1.5,0.3,8.8,73.0
119,Gorgui Dieng,MIN,0.7,0.367,1.4,0.48,1.0,0.75,4.7,1.0,0.8,1.0,6.0,76.0
120,Spencer Dinwiddie,BRK,1.9,0.308,5.6,0.508,5.6,0.836,2.9,6.2,0.9,0.4,22.7,84.0
121,Donte DiVincenzo,MIL,1.2,0.343,2.0,0.514,0.9,0.781,4.5,2.2,1.5,0.3,8.5,77.0
122,Luka Dončić,DAL,3.0,0.326,6.4,0.62,7.4,0.803,9.6,8.9,1.2,0.1,29.3,96.0
123,Luguentz Dort,OKC,0.0,0.0,1.0,0.714,0.6,0.6,1.4,0.4,0.4,0.0,2.6,68.0
124,Damyean Dotson,NYK,1.1,0.32,1.2,0.559,0.6,0.696,1.6,1.3,0.4,0.1,6.5,75.0
125,Sekou Doumbouya,DET,0.0,0.0,0.7,0.5,0.2,0.333,0.7,0.0,0.2,0.0,1.5,73.0
126,Goran Dragić,MIA,2.3,0.414,3.1,0.496,2.9,0.716,3.3,5.0,0.7,0.3,16.0,80.0
127,Andre Drummond,DET,0.0,0.0,7.6,0.573,2.8,0.617,16.1,2.9,2.0,1.7,18.0,88.0
128,Jared Dudley,LAL,0.5,0.526,0.0,0.125,0.1,1.0,0.9,0.7,0.4,0.0,1.6,72.0
129,Kris Dunn,CHI,0.5,0.232,2.5,0.527,0.6,0.69,3.5,3.2,2.0,0.4,7.1,76.0
130,Carsen Edwards,BOS,0.8,0.333,0.5,0.303,0.5,0.846,1.7,0.8,0.3,0.1,3.9,71.0
131,Henry Ellenson,BRK,0.0,0.0,0.3,0.333,0.0,0.0,1.3,0.0,0.0,0.0,0.7,69.0
132,Wayne Ellington,NYK,1.2,0.304,0.3,0.417,0.2,0.667,1.6,0.9,0.3,0.1,4.3,72.0
133,Joel Embiid,PHI,1.1,0.319,6.3,0.514,6.9,0.822,12.6,3.2,0.9,1.4,23.0,91.0
134,James Ennis,PHI,1.0,0.397,1.4,0.541,1.2,0.755,3.5,1.0,0.4,0.3,6.9,78.0
135,Drew Eubanks,SAS,0.0,0.0,1.3,0.5,0.3,1.0,3.3,0.5,0.0,0.3,2.8,69.0
136,Jacob Evans,GSW,0.6,0.462,0.7,0.194,1.1,0.917,1.1,0.9,0.2,0.4,4.3,71.0
137,Dante Exum,UTA,0.2,0.333,0.7,0.471,0.2,1.0,1.1,0.6,0.1,0.2,2.2,75.0
138,Tacko Fall,BOS,0.0,0.0,2.0,0.75,0.3,0.5,2.3,0.0,0.0,0.7,4.3,68.0
139,Derrick Favors,NOP,0.1,0.5,3.7,0.583,0.3,0.385,9.1,1.9,0.5,0.8,8.0,78.0
140,Terrance Ferguson,OKC,1.3,0.358,0.7,0.593,0.3,0.778,1.8,1.0,0.6,0.3,5.5,72.0
141,Bruno Fernando,ATL,0.1,0.2,1.3,0.588,0.6,0.655,3.1,1.0,0.2,0.3,3.7,73.0
142,Yogi Ferrell,SAC,0.4,0.27,1.6,0.537,1.2,0.875,1.4,1.7,0.4,0.1,5.7,75.0
143,Dorian Finney-Smith,DAL,1.3,0.364,1.8,0.624,1.1,0.711,5.2,1.3,0.7,0.4,8.8,74.0
144,Bryn Forbes,SAS,2.3,0.365,1.8,0.459,1.2,0.857,2.3,1.8,0.4,0.0,11.6,75.0
145,Evan Fournier,ORL,2.7,0.419,4.1,0.521,3.0,0.827,2.7,3.2,1.0,0.2,19.2,83.0
146,De'Aaron Fox,SAC,1.2,0.333,5.4,0.504,4.5,0.686,4.2,6.7,1.2,0.4,18.8,85.0
147,Melvin Frazier,ORL,0.3,0.5,0.2,0.167,0.0,0.0,0.3,0.2,0.0,0.0,1.3,70.0
148,Tim Frazier,DET,0.3,0.294,0.8,0.342,0.9,0.833,0.9,3.5,0.6,0.1,3.3,71.0
149,Markelle Fultz,ORL,0.4,0.255,4.4,0.52,1.7,0.762,2.8,4.1,1.2,0.2,11.7,79.0
150,Wenyen Gabriel,SAC,0.1,0.125,0.6,0.5,0.7,0.556,1.1,0.4,0.3,0.3,2.3,68.0
151,Daniel Gafford,CHI,0.0,0.0,1.8,0.727,0.6,0.52,1.7,0.3,0.0,1.2,4.2,73.0
152,Danilo Gallinari,OKC,2.8,0.395,2.8,0.478,4.1,0.903,5.7,2.2,0.7,0.1,18.0,83.0
153,Langston Galloway,DET,2.3,0.409,1.4,0.473,1.7,0.897,2.1,1.5,0.7,0.3,11.3,75.0
154,Darius Garland,CLE,1.8,0.372,2.5,0.41,1.0,0.879,2.0,3.0,0.6,0.0,11.4,74.0
155,Marc Gasol,TOR,1.1,0.352,1.2,0.376,0.8,0.75,6.6,3.4,0.8,1.1,6.6,77.0
156,Rudy Gay,SAS,0.9,0.281,3.0,0.524,2.0,0.877,5.9,1.9,0.4,0.6,10.6,81.0
157,Paul George,LAC,3.8,0.401,4.2,0.494,4.5,0.905,5.8,3.7,1.5,0.4,24.2,93.0
158,Taj Gibson,NYK,0.1,0.2,2.0,0.509,0.3,0.529,4.4,1.2,0.6,0.4,4.5,78.0
159,Harry Giles,SAC,0.0,0.0,1.6,0.44,0.3,1.0,1.0,0.7,0.3,0.4,3.4,74.0
160,Shai Gilgeous-Alexander,OKC,1.3,0.358,5.6,0.475,4.0,0.804,5.0,3.0,1.0,0.4,19.1,81.0
161,Rudy Gobert,UTA,0.0,0.0,5.8,0.679,3.5,0.614,14.3,1.5,0.7,1.9,15.0,87.0
162,Brandon Goodwin,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
163,Aaron Gordon,ORL,1.1,0.295,3.8,0.46,2.2,0.69,7.2,3.0,0.7,0.6,13.3,79.0
164,Eric Gordon,HOU,2.3,0.284,1.4,0.361,1.0,0.643,1.9,0.8,0.6,0.2,10.9,77.0
165,Devonte' Graham,CHO,3.8,0.405,2.3,0.358,3.3,0.797,3.7,7.5,0.8,0.3,19.3,83.0
166,Treveon Graham,MIN,0.6,0.233,1.3,0.439,0.8,0.688,3.3,0.9,0.6,0.1,5.4,71.0
167,Jerami Grant,DEN,1.3,0.402,2.1,0.496,1.3,0.619,3.3,0.9,0.5,0.6,9.6,76.0
168,Josh Gray,NOP,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,67.0
169,Danny Green,LAL,2.0,0.383,1.0,0.526,0.6,0.792,3.8,1.2,1.1,0.5,8.5,77.0
170,Draymond Green,GSW,0.7,0.259,2.5,0.486,2.0,0.75,6.2,5.7,1.8,0.6,9.0,82.0
171,JaMychal Green,LAC,1.6,0.379,0.9,0.477,0.8,0.857,6.6,0.5,0.6,0.3,7.3,78.0
172,Javonte Green,BOS,0.1,0.231,1.1,0.657,0.2,0.571,1.3,0.3,0.2,0.1,2.8,71.0
173,Jeff Green,UTA,1.1,0.327,1.4,0.451,1.6,0.778,2.7,0.7,0.4,0.3,7.8,74.0
174,Blake Griffin,DET,1.5,0.253,3.5,0.438,4.3,0.784,4.4,3.3,0.4,0.4,15.8,84.0
175,Marko Guduric,MEM,0.7,0.281,1.1,0.468,0.6,0.882,2.0,1.4,0.3,0.2,4.9,69.0
176,Rui Hachimura,WAS,0.4,0.208,5.4,0.533,1.8,0.852,5.8,1.6,0.7,0.1,13.9,78.0
177,Devon Hall,OKC,0.0,0.0,0.2,0.333,0.6,0.75,0.2,0.6,0.0,0.0,1.0,67.0
178,Tim Hardaway,DAL,2.6,0.368,2.1,0.47,1.7,0.803,2.7,1.8,0.6,0.1,13.6,78.0
179,James Harden,HOU,5.1,0.367,6.0,0.559,11.2,0.878,5.8,7.4,1.9,0.7,38.6,97.0
180,Maurice Harkless,LAC,0.6,0.346,1.7,0.573,0.6,0.576,3.6,1.1,1.1,0.7,5.7,72.0
181,Jared Harper,PHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
182,Montrezl Harrell,LAC,0.0,0.0,7.8,0.589,3.4,0.659,7.5,1.9,0.8,1.2,19.0,85.0
183,Gary Harris,DEN,1.4,0.347,2.8,0.5,1.3,0.813,2.8,2.3,1.3,0.3,11.2,77.0
184,Joe Harris,BRK,2.7,0.434,2.8,0.543,1.0,0.757,4.0,2.1,0.7,0.3,14.8,78.0
185,Tobias Harris,PHI,1.5,0.329,6.3,0.556,2.7,0.787,6.7,3.2,0.9,0.8,19.7,86.0
186,Shaquille Harrison,CHI,0.2,0.3,0.9,0.436,0.6,0.611,1.7,1.2,0.4,0.2,3.0,73.0
187,Josh Hart,NOP,2.3,0.355,1.5,0.554,1.4,0.805,5.9,1.5,1.0,0.3,11.1,77.0
188,Isaiah Hartenstein,HOU,0.0,0.0,1.2,0.733,1.0,0.818,2.9,0.6,0.3,0.4,3.4,70.0
189,Udonis Haslem,MIA,0.0,0.0,0.5,1.0,1.5,0.75,1.5,0.0,0.0,0.0,2.5,70.0
190,Jaxson Hayes,NOP,0.0,0.25,3.3,0.636,2.1,0.641,4.8,0.9,0.7,1.2,8.7,77.0
191,Gordon Hayward,BOS,1.4,0.395,5.9,0.613,1.6,0.783,6.1,4.1,0.7,0.3,17.5,83.0
192,John Henson,CLE,0.2,0.182,1.7,0.667,0.5,0.4,3.3,1.4,0.7,1.5,4.3,75.0
193,Dewan Hernandez,TOR,0.0,0.0,0.3,0.25,0.5,1.0,1.8,0.0,0.3,0.0,1.0,68.0
194,Juan Hernangómez,DEN,0.7,0.308,0.8,0.52,0.4,0.538,2.4,0.6,0.1,0.2,4.1,73.0
195,Willy Hernangómez,CHO,0.2,0.286,0.8,0.444,0.4,0.5,2.3,0.3,0.1,0.3,2.6,76.0
196,Tyler Herro,MIA,2.0,0.386,3.0,0.454,1.8,0.869,4.1,2.1,0.7,0.1,14.0,76.0
197,Mario Hezonja,POR,0.4,0.313,1.0,0.368,1.0,0.828,4.3,0.9,0.5,0.1,4.2,73.0
198,Buddy Hield,SAC,3.7,0.358,3.8,0.491,1.7,0.833,5.0,2.9,0.8,0.3,20.3,82.0
199,George Hill,MIL,1.6,0.516,2.0,0.57,1.5,0.86,3.3,3.0,0.8,0.1,10.3,79.0
200,Solomon Hill,MEM,1.3,0.406,1.0,0.438,0.4,0.65,3.2,1.9,0.9,0.1,6.4,73.0
201,Jaylen Hoard,POR,0.0,0.0,0.6,0.5,0.2,0.5,1.4,0.4,0.2,0.0,1.4,68.0
202,Aaron Holiday,IND,1.7,0.417,2.2,0.441,0.9,0.844,2.5,2.9,0.9,0.1,10.2,76.0
203,Jrue Holiday,NOP,2.0,0.35,5.9,0.472,2.0,0.682,5.1,6.5,1.7,0.7,19.7,84.0
204,Justin Holiday,IND,1.5,0.367,1.1,0.443,0.6,0.8,3.8,1.5,1.0,0.6,7.5,73.0
205,Rondae Hollis-Jefferson,TOR,0.1,0.222,3.2,0.534,2.1,0.754,5.4,1.7,0.8,0.4,8.7,77.0
206,Richaun Holmes,SAC,0.0,0.0,5.2,0.662,1.9,0.817,8.5,1.0,1.1,1.3,12.4,80.0
207,Rodney Hood,POR,1.7,0.493,2.5,0.515,1.0,0.778,3.4,1.5,0.8,0.2,11.0,77.0
208,Al Horford,PHI,1.4,0.339,4.1,0.538,0.9,0.676,6.7,3.8,1.1,1.0,13.1,87.0
209,Talen Horton-Tucker,LAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,70.0
210,Danuel House,HOU,2.1,0.395,1.6,0.551,1.3,0.762,3.9,1.3,1.0,0.5,10.9,77.0
211,Dwight Howard,LAL,0.0,0.333,2.8,0.764,1.2,0.467,6.9,0.7,0.4,1.3,6.9,80.0
212,Kevin Huerter,ATL,1.8,0.364,1.5,0.448,1.1,0.808,3.4,3.4,1.0,0.5,9.5,75.0
213,De'Andre Hunter,ATL,1.7,0.336,3.0,0.46,1.9,0.763,4.0,1.9,0.6,0.3,13.0,76.0
214,Chandler Hutchison,CHI,0.6,0.417,1.7,0.469,2.1,0.655,3.7,0.9,0.6,0.2,7.1,72.0
215,Serge Ibaka,TOR,0.8,0.327,4.5,0.506,2.3,0.807,7.5,1.3,0.5,1.1,13.7,80.0
216,Ersan İlyasova,MIL,0.8,0.329,2.0,0.625,1.3,0.783,4.8,0.9,0.5,0.3,7.7,78.0
217,Joe Ingles,UTA,1.9,0.384,1.4,0.494,1.1,0.81,4.4,4.2,1.0,0.1,9.5,76.0
218,Brandon Ingram,NOP,2.2,0.388,6.7,0.528,5.0,0.844,7.1,3.8,0.9,0.8,25.0,85.0
219,Kyrie Irving,BRK,2.8,0.341,7.4,0.503,5.4,0.937,5.4,7.2,1.1,0.5,28.5,91.0
