,Player,Tm,3P,3PA,3P%,2P,2PA,2P%,FT,FT%,TRB,AST,STL,BLK,PTS
447,Allonzo Trier,NYK,1.0,2.3,.429,1.3,1.9,.655,2.1,.795,1.4,1.4,0.1,0.3,7.6
448,P.J. Tucker,HOU,1.9,4.6,.408,1.5,2.3,.634,0.7,.767,7.4,1.5,1.3,0.5,9.3
449,Evan Turner,ATL,0.0,0.3,.000,1.5,3.5,.429,0.8,.857,2.1,2.1,0.5,0.5,3.8
450,Myles Turner,IND,1.6,4.4,.366,2.8,5.3,.529,1.7,.722,5.7,1.2,0.7,2.3,12.1
451,Jonas Valančiūnas,MEM,0.6,1.4,.410,5.4,9.0,.603,1.6,.733,9.9,1.9,0.3,0.9,14.1
452,Denzel Valentine,CHI,1.4,3.7,.394,1.0,2.2,.450,0.3,1.000,2.0,1.1,0.7,0.2,6.6
453,Jarred Vanderbilt,DEN,0.0,0.0,0,0.0,0.0,0,0.0,0,0.7,0.3,0.0,0.0,0.0
454,Fred VanVleet,TOR,2.4,6.6,.368,3.5,8.0,.435,3.9,.872,3.9,7.0,2.0,0.2,18.1
455,Noah Vonleh,MIN,0.1,0.7,.077,1.4,2.3,.622,1.0,.833,3.8,1.0,0.4,0.2,4.0
456,Nikola Vučević,ORL,1.2,3.8,.315,5.7,11.6,.493,2.5,.787,10.9,3.3,0.8,1.1,17.6
457,Dean Wade,CLE,0.3,0.3,1.000,0.0,0.3,.000,0.0,0,0.7,0.0,0.3,0.0,1.0
458,Moritz Wagner,WAS,1.0,2.7,.393,3.4,5.0,.683,1.7,.837,6.0,1.3,0.7,0.6,11.6
459,Kemba Walker,BOS,3.8,9.2,.411,3.6,7.9,.453,4.1,.873,4.0,5.3,0.9,0.6,22.6
460,Lonnie Walker,SAS,0.4,1.0,.364,1.5,3.1,.471,0.6,.591,1.6,0.5,0.3,0.1,4.6
462,Tyrone Wallace,ATL,0.1,1.1,.067,0.9,2.1,.448,0.8,.647,1.6,0.9,0.5,0.1,2.9
463,Taurean Waller-Prince,BRK,2.4,6.5,.378,2.0,5.3,.386,1.0,.763,6.6,2.2,0.9,0.4,12.4
464,Derrick Walton,LAC,0.4,0.9,.429,0.3,0.5,.625,0.4,.857,0.7,1.1,0.3,0.0,2.3
465,Brad Wanamaker,BOS,0.5,1.3,.371,1.8,3.7,.476,2.0,.889,2.1,3.0,0.7,0.3,6.9
466,T.J. Warren,IND,1.3,3.4,.371,5.9,10.9,.538,2.2,.817,3.6,1.2,1.0,0.5,17.7
467,PJ Washington,CHO,1.4,3.4,.406,3.1,6.0,.524,1.8,.704,5.3,1.8,1.0,0.9,12.3
468,Yuta Watanabe,MEM,0.3,0.5,.500,0.5,1.0,.500,0.0,0,1.3,0.0,0.0,0.3,1.8
469,Tremont Waters,BOS,0.5,3.0,.167,1.0,2.0,.500,1.0,1.000,1.0,1.5,0.5,1.0,4.5
470,Russell Westbrook,HOU,1.2,5.1,.238,7.7,15.8,.486,5.1,.791,8.1,7.1,1.5,0.4,24.1
471,Coby White,CHI,1.8,5.4,.339,2.2,5.7,.377,1.3,.800,3.5,2.3,0.7,0.1,11.1
