,Player,Tm,3P,3PA,3P%,2P,2PA,2P%,FT,FT%,TRB,AST,STL,BLK,PTS
135,Kris Dunn,CHI,0.5,2.2,.232,2.5,4.7,.527,0.6,.690,3.5,3.2,2.0,0.4,7.1
136,Carsen Edwards,BOS,0.8,2.3,.333,0.5,1.5,.303,0.5,.846,1.7,0.8,0.4,0.1,3.7
137,Henry Ellenson,BRK,0.0,0.7,.000,0.3,1.0,.333,0.0,0,1.3,0.0,0.0,0.0,0.7
138,Wayne Ellington,NYK,1.2,3.8,.304,0.3,0.7,.417,0.2,.667,1.6,0.9,0.3,0.1,4.3
139,Joel Embiid,PHI,1.2,3.6,.330,6.4,12.4,.515,6.9,.827,12.6,3.2,0.9,1.4,23.3
140,James Ennis,PHI,0.9,2.5,.378,1.4,2.6,.540,1.1,.755,3.6,1.0,0.4,0.3,6.8
141,Drew Eubanks,SAS,0.0,0.0,0,1.3,2.5,.500,0.3,1.000,3.3,0.5,0.0,0.3,2.8
142,Jacob Evans,GSW,0.6,1.4,.467,0.8,3.5,.231,1.1,.923,1.2,0.9,0.2,0.4,4.6
143,Dante Exum,UTA,0.2,0.5,.333,0.7,1.5,.471,0.2,1.000,1.1,0.6,0.1,0.2,2.2
144,Tacko Fall,BOS,0.0,0.0,0,2.0,2.7,.750,0.3,.500,2.3,0.0,0.0,0.7,4.3
145,Derrick Favors,NOP,0.1,0.2,.333,3.7,6.5,.567,0.4,.467,9.3,2.3,0.5,0.9,8.0
147,Terrance Ferguson,OKC,1.3,3.5,.358,0.7,1.2,.593,0.3,.778,1.8,1.0,0.6,0.3,5.5
148,Bruno Fernando,ATL,0.1,0.7,.200,1.3,2.3,.588,0.6,.655,3.1,1.0,0.2,0.3,3.7
149,Yogi Ferrell,SAC,0.4,1.6,.270,1.6,2.9,.537,1.2,.875,1.4,1.7,0.4,0.1,5.7
150,Dorian Finney-Smith,DAL,1.3,3.7,.364,1.8,2.9,.624,1.1,.711,5.2,1.3,0.7,0.4,8.8
151,Bryn Forbes,SAS,2.3,6.2,.365,1.8,3.8,.459,1.2,.857,2.3,1.8,0.4,0.0,11.6
152,Evan Fournier,ORL,2.7,6.4,.419,4.1,7.9,.521,3.0,.827,2.7,3.2,1.0,0.2,19.2
153,De'Aaron Fox,SAC,1.2,3.5,.333,5.4,10.7,.504,4.5,.686,4.2,6.7,1.2,0.4,18.8
154,Melvin Frazier,ORL,0.3,0.7,.500,0.2,1.0,.167,0.0,0,0.3,0.2,0.0,0.0,1.3
155,Tim Frazier,DET,0.3,1.0,.294,0.8,2.2,.342,0.9,.833,0.9,3.5,0.6,0.1,3.3
156,Markelle Fultz,ORL,0.4,1.6,.255,4.4,8.4,.520,1.7,.762,2.8,4.1,1.2,0.2,11.7
157,Wenyen Gabriel,SAC,0.1,1.1,.125,0.6,1.1,.500,0.7,.556,1.1,0.4,0.3,0.3,2.3
158,Daniel Gafford,CHI,0.0,0.0,0,1.8,2.5,.727,0.6,.520,1.7,0.3,0.0,1.2,4.2
159,Danilo Gallinari,OKC,2.8,7.0,.395,2.8,5.8,.478,4.1,.903,5.7,2.2,0.7,0.1,18.0
160,Langston Galloway,DET,2.3,5.5,.409,1.4,3.0,.473,1.7,.897,2.1,1.5,0.7,0.3,11.3
161,Darius Garland,CLE,1.8,4.8,.372,2.5,6.1,.410,1.0,.879,2.0,3.0,0.6,0.0,11.4
162,Marc Gasol,TOR,1.1,3.3,.352,1.2,3.1,.376,0.8,.750,6.6,3.4,0.8,1.1,6.6
163,Rudy Gay,SAS,0.9,3.1,.281,3.0,5.7,.524,2.0,.877,5.9,1.9,0.4,0.6,10.6
164,Paul George,LAC,3.6,9.2,.394,4.2,8.6,.484,4.6,.910,5.8,3.6,1.5,0.5,23.9
165,Taj Gibson,NYK,0.1,0.4,.200,2.0,3.9,.509,0.3,.529,4.4,1.2,0.6,0.4,4.5
166,Harry Giles,SAC,0.0,0.0,0,1.6,3.6,.440,0.3,1.000,1.0,0.7,0.3,0.4,3.4
168,Shai Gilgeous-Alexander,OKC,1.3,3.7,.358,5.6,11.8,.475,4.0,.804,5.0,3.0,1.0,0.4,19.1
169,Rudy Gobert,UTA,0.0,0.0,0,5.8,8.5,.679,3.5,.614,14.3,1.5,0.7,1.9,15.0
170,Brandon Goodwin,ATL,0.0,0.5,.000,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
171,Aaron Gordon,ORL,1.1,3.9,.295,3.8,8.3,.460,2.2,.690,7.2,3.0,0.7,0.6,13.3
172,Eric Gordon,HOU,2.3,8.2,.284,1.4,4.0,.361,1.0,.643,1.9,0.8,0.6,0.2,10.9
173,Devonte' Graham,CHO,3.8,9.4,.405,2.3,6.4,.358,3.3,.797,3.7,7.5,0.8,0.3,19.3
174,Treveon Graham,MIN,0.6,2.7,.233,1.3,3.0,.439,0.8,.688,3.3,0.9,0.6,0.1,5.4
175,Jerami Grant,DEN,1.4,3.3,.410,2.2,4.3,.500,1.4,.627,3.2,0.9,0.5,0.6,9.8
176,Josh Gray,NOP,0.0,0.0,0,0.5,1.0,.500,0.0,0,1.0,1.0,0.0,0.0,1.0
177,Danny Green,LAL,2.0,5.2,.379,1.0,1.9,.517,0.6,.792,3.8,1.2,1.2,0.5,8.5
178,Draymond Green,GSW,0.7,2.6,.276,2.6,5.3,.496,2.0,.746,6.4,5.5,1.7,0.6,9.5
179,JaMychal Green,LAC,1.5,4.1,.378,0.9,1.9,.467,0.8,.857,6.4,0.6,0.6,0.3,7.1
180,Javonte Green,BOS,0.1,0.6,.231,1.1,1.6,.667,0.2,.571,1.3,0.3,0.2,0.2,2.8
181,Jeff Green,UTA,1.1,3.5,.327,1.4,3.0,.451,1.6,.778,2.7,0.7,0.4,0.3,7.8
182,Blake Griffin,DET,1.5,5.9,.253,3.5,8.0,.438,4.3,.784,4.4,3.3,0.4,0.4,15.8
183,Marko Guduric,MEM,0.7,2.5,.281,1.1,2.4,.468,0.6,.882,2.0,1.4,0.3,0.2,4.9
184,Rui Hachimura,WAS,0.4,1.9,.208,5.4,10.2,.533,1.8,.852,5.8,1.6,0.7,0.1,13.9
185,Devon Hall,OKC,0.0,0.4,.000,0.2,0.6,.333,0.6,.750,0.2,0.6,0.0,0.0,1.0
186,Tim Hardaway,DAL,2.6,6.9,.368,2.1,4.6,.470,1.7,.803,2.7,1.8,0.6,0.1,13.6
187,James Harden,HOU,5.1,13.8,.372,5.9,10.7,.554,10.9,.875,5.8,7.5,1.9,0.7,38.1
189,Maurice Harkless,LAC,0.5,1.6,.346,1.7,2.9,.577,0.6,.576,3.6,1.1,1.2,0.7,5.6
190,Jared Harper,PHO,0.0,1.0,.000,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
191,Montrezl Harrell,LAC,0.0,0.4,.000,7.8,13.2,.591,3.4,.663,7.5,1.9,0.7,1.2,19.0
192,Gary Harris,DEN,1.5,4.3,.346,2.8,5.5,.506,1.3,.813,2.8,2.2,1.4,0.3,11.3
193,Joe Harris,BRK,2.7,6.3,.434,2.8,5.2,.543,1.0,.757,4.0,2.1,0.7,0.3,14.8
194,Tobias Harris,PHI,1.6,4.5,.347,6.2,11.3,.551,2.6,.789,6.6,3.2,0.9,0.7,19.8
195,Shaquille Harrison,CHI,0.2,0.6,.300,0.9,2.2,.436,0.6,.611,1.7,1.2,0.4,0.2,3.0
196,Josh Hart,NOP,2.3,6.3,.369,1.5,2.8,.529,1.4,.814,6.0,1.4,1.0,0.3,11.3
197,Isaiah Hartenstein,HOU,0.0,0.1,.000,1.2,1.7,.733,1.0,.818,2.9,0.6,0.3,0.4,3.4
198,Udonis Haslem,MIA,0.0,0.0,0,0.5,0.5,1.000,1.5,.750,1.5,0.0,0.0,0.0,2.5
199,Jaxson Hayes,NOP,0.0,0.1,.250,3.2,5.0,.639,2.0,.641,4.7,0.9,0.7,1.1,8.5
200,Gordon Hayward,BOS,1.4,3.5,.405,5.8,9.3,.622,1.5,.783,6.0,4.3,0.8,0.3,17.3
201,John Henson,CLE,0.2,0.9,.182,1.7,2.5,.667,0.5,.400,3.3,1.4,0.7,1.5,4.3
202,Dewan Hernandez,TOR,0.0,0.3,.000,0.3,1.0,.250,0.5,1.000,1.8,0.0,0.3,0.0,1.0
203,Juan Hernangómez,DEN,0.7,2.2,.308,0.7,1.4,.520,0.4,.538,2.3,0.6,0.1,0.2,3.8
204,Willy Hernangómez,CHO,0.2,0.7,.286,0.8,1.8,.444,0.4,.500,2.3,0.3,0.1,0.3,2.6
205,Tyler Herro,MIA,2.0,5.3,.386,3.0,6.7,.454,1.8,.869,4.1,2.1,0.7,0.1,14.0
206,Mario Hezonja,POR,0.4,1.3,.313,1.0,2.7,.368,1.0,.828,4.3,0.9,0.5,0.1,4.2
207,Buddy Hield,SAC,3.7,10.2,.358,3.8,7.7,.491,1.7,.833,5.0,2.9,0.8,0.3,20.3
208,George Hill,MIL,1.7,3.1,.532,2.0,3.5,.577,1.4,.860,3.2,3.0,0.8,0.1,10.4
210,Solomon Hill,MEM,1.3,3.3,.406,1.0,2.2,.438,0.4,.650,3.2,1.9,0.9,0.1,6.4
211,Jaylen Hoard,POR,0.0,0.0,0,0.6,1.2,.500,0.2,.500,1.4,0.4,0.2,0.0,1.4
212,Aaron Holiday,IND,1.7,4.0,.417,2.2,4.9,.441,0.9,.844,2.5,2.9,0.9,0.1,10.2
213,Jrue Holiday,NOP,1.9,5.7,.341,5.9,12.4,.477,2.0,.693,5.1,6.5,1.8,0.7,19.7
214,Justin Holiday,IND,1.5,4.1,.367,1.1,2.5,.443,0.6,.800,3.8,1.5,1.0,0.6,7.5
215,Rondae Hollis-Jefferson,TOR,0.1,0.4,.222,3.1,6.0,.522,2.1,.750,5.3,1.7,0.8,0.4,8.6
216,Richaun Holmes,SAC,0.0,0.0,0,5.2,7.9,.662,1.9,.817,8.5,1.0,1.1,1.3,12.4
217,Rodney Hood,POR,1.7,3.4,.493,2.5,4.8,.515,1.0,.778,3.4,1.5,0.8,0.2,11.0
218,Al Horford,PHI,1.4,4.1,.345,3.9,7.5,.525,0.9,.692,6.8,3.9,1.1,1.0,13.0
219,Talen Horton-Tucker,LAL,0.0,0.5,.000,0.0,0.0,0,0.0,0,0.0,1.0,0.5,0.0,0.0
220,Danuel House,HOU,2.2,5.6,.397,1.5,2.9,.528,1.4,.761,4.0,1.3,1.0,0.6,11.2
221,Dwight Howard,LAL,0.0,0.1,.333,2.7,3.6,.766,1.1,.461,7.0,0.7,0.4,1.3,6.7
222,Kevin Huerter,ATL,1.8,5.0,.364,1.5,3.4,.448,1.1,.808,3.4,3.4,1.0,0.5,9.5
223,De'Andre Hunter,ATL,1.7,5.0,.336,3.0,6.6,.460,1.9,.763,4.0,1.9,0.6,0.3,13.0
224,Chandler Hutchison,CHI,0.6,1.3,.417,1.7,3.6,.469,2.1,.655,3.7,0.9,0.6,0.2,7.1
225,Serge Ibaka,TOR,0.8,2.4,.320,4.6,8.9,.516,2.2,.807,7.5,1.3,0.5,1.0,13.6
226,Ersan İlyasova,MIL,0.8,2.4,.338,2.0,3.2,.620,1.2,.783,4.6,0.9,0.5,0.3,7.7
227,Joe Ingles,UTA,1.9,4.9,.384,1.4,2.8,.494,1.1,.810,4.4,4.2,1.0,0.1,9.5
228,Brandon Ingram,NOP,2.4,5.8,.410,6.6,12.6,.525,4.9,.846,7.1,3.8,0.9,0.8,25.3
229,Kyrie Irving,BRK,2.8,8.3,.341,7.4,14.6,.503,5.4,.937,5.4,7.2,1.1,0.5,28.5
231,Jonathan Isaac,ORL,1.0,3.0,.341,3.7,7.2,.510,1.9,.803,7.0,1.4,1.4,2.6,12.4
232,Wesley Iwundu,ORL,0.1,0.8,.077,0.9,2.4,.385,1.1,.850,1.9,0.9,0.6,0.2,3.1
233,Frank Jackson,NOP,0.8,2.7,.294,1.3,3.0,.434,1.0,.813,1.3,0.9,0.4,0.0,6.1
234,Jaren Jackson,MEM,2.6,6.3,.411,3.7,7.1,.524,2.4,.747,4.5,1.5,0.6,1.3,17.6
235,Justin Jackson,DAL,0.9,2.5,.364,1.3,2.6,.515,0.5,.737,2.3,0.5,0.2,0.1,6.0
236,Reggie Jackson,DET,0.5,2.5,.200,1.5,3.0,.500,0.5,1.000,2.5,4.0,0.0,0.0,5.0
237,Justin James,SAC,0.5,1.5,.316,1.3,2.8,.472,0.2,.222,1.8,0.8,0.3,0.5,4.2
238,LeBron James,LAL,2.2,6.4,.344,7.7,13.8,.559,3.6,.679,7.6,10.6,1.2,0.6,25.7
239,Amile Jefferson,ORL,0.0,0.0,0,0.4,0.6,.750,0.0,.000,1.0,0.3,0.0,0.0,0.9
240,DaQuan Jeffries,SAC,0.0,0.0,0,0.5,0.5,1.000,0.0,0,0.5,0.5,0.0,0.0,1.0
241,Ty Jerome,PHO,0.6,2.0,.300,1.0,2.9,.345,0.4,.800,1.7,2.2,1.1,0.0,4.2
242,Alize Johnson,IND,0.0,0.0,0,0.6,1.2,.455,0.3,.750,1.3,0.2,0.0,0.0,1.4
243,B.J. Johnson,ORL,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
244,Cameron Johnson,PHO,2.1,5.0,.412,1.1,2.2,.483,0.9,.793,3.3,1.0,0.6,0.3,9.2
245,James Johnson,MIA,0.3,1.5,.222,1.0,1.5,.667,0.3,.500,1.8,0.7,0.5,0.3,3.3
246,Keldon Johnson,SAS,0.0,0.0,0,0.0,1.0,.000,0.0,0,0.0,0.0,0.0,0.0,0.0
247,Stanley Johnson,TOR,0.2,0.7,.250,0.8,1.5,.556,0.0,0,1.2,0.0,0.3,0.0,2.2
248,Tyler Johnson,PHO,0.9,2.9,.317,1.2,2.8,.441,1.0,.769,1.8,2.0,0.4,0.3,6.1
249,Nikola Jokić,DEN,1.3,4.1,.306,5.7,10.2,.557,2.4,.820,10.0,6.8,1.0,0.6,17.6
250,Damian Jones,ATL,0.1,0.2,.400,2.8,3.9,.718,1.3,.698,3.8,0.7,0.4,0.9,7.2
252,Derrick Jones,MIA,0.6,1.8,.310,2.3,3.5,.643,1.7,.750,3.4,0.9,1.1,0.4,7.9
253,Tyus Jones,MEM,0.5,1.6,.306,2.0,4.4,.449,0.7,.750,1.6,4.8,0.9,0.1,6.1
254,DeAndre Jordan,BRK,0.0,0.0,0,3.3,5.1,.654,1.5,.661,10.0,2.2,0.5,1.0,8.2
255,Cory Joseph,SAC,0.6,2.0,.305,1.8,4.3,.408,0.7,.875,2.7,3.9,0.7,0.5,6.0
256,Mfiondu Kabengele,LAC,0.6,1.2,.500,0.4,1.0,.400,0.3,1.000,0.8,0.1,0.1,0.1,2.9
257,Frank Kaminsky,PHO,1.3,3.6,.349,2.8,5.4,.521,1.9,.674,5.2,2.3,0.4,0.3,11.4
258,Enes Kanter,BOS,0.0,0.1,.000,3.3,6.0,.552,1.4,.667,7.5,1.0,0.6,0.6,8.0
259,Luke Kennard,DET,2.6,6.5,.399,2.8,5.7,.491,2.4,.893,3.5,4.1,0.4,0.2,15.8
260,Stanton Kidd,UTA,0.0,0.3,.000,0.0,0.5,.000,0.0,0,0.8,0.3,0.0,0.0,0.0
261,Michael Kidd-Gilchrist,CHO,0.5,1.7,.294,1.1,3.2,.344,0.7,.778,3.1,0.9,0.0,0.3,4.4
262,Maxi Kleber,DAL,1.4,3.6,.382,1.5,2.7,.553,1.1,.889,5.2,1.0,0.3,0.7,8.3
263,Brandon Knight,CLE,1.2,3.5,.343,0.4,1.2,.333,0.3,.375,0.8,1.6,0.4,0.1,4.7
264,Kevin Knox,NYK,1.3,3.9,.345,1.5,3.4,.436,1.2,.667,2.9,1.2,0.6,0.5,8.1
265,John Konchar,MEM,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
266,Furkan Korkmaz,PHI,1.7,4.3,.390,1.4,2.8,.523,0.6,.760,2.2,0.8,0.5,0.2,8.4
267,Luke Kornet,CHI,0.3,1.8,.185,0.7,1.4,.476,0.3,1.000,1.5,0.4,0.1,0.7,2.7
268,Kyle Korver,MIL,1.6,4.1,.384,0.4,1.0,.407,0.5,.824,1.8,0.9,0.5,0.2,6.1
269,Rodions Kurucs,BRK,0.3,0.7,.400,0.6,1.6,.409,0.2,.375,2.4,0.3,0.4,0.1,2.4
270,Kyle Kuzma,LAL,1.7,4.6,.363,2.7,5.3,.504,1.5,.702,3.5,0.8,0.4,0.5,11.9
271,Skal Labissière,POR,0.1,0.4,.250,2.4,4.1,.578,0.7,.767,5.2,1.3,0.2,1.0,5.8
273,Jeremy Lamb,IND,1.2,3.8,.307,4.2,7.9,.529,2.2,.827,4.7,2.5,1.3,0.6,13.9
274,Romeo Langford,BOS,0.4,1.4,.286,1.0,1.6,.625,0.0,0,1.2,0.2,0.6,0.2,3.2
275,Zach LaVine,CHI,3.1,7.8,.395,4.9,10.7,.456,4.7,.829,4.6,3.8,1.3,0.4,23.6
276,Jake Layman,MIN,1.4,3.9,.352,3.0,5.6,.538,0.4,.600,2.9,0.8,0.9,0.7,10.5
277,T.J. Leaf,IND,0.3,0.7,.385,1.1,2.5,.438,0.3,.600,3.1,0.3,0.4,0.2,3.3
278,Courtney Lee,DAL,0.9,1.5,.583,0.8,1.3,.600,0.0,0,0.4,0.4,0.0,0.3,4.1
279,Damion Lee,GSW,1.3,3.6,.359,2.4,5.6,.440,2.9,.883,4.8,2.2,0.7,0.0,11.7
280,Alex Len,ATL,0.4,1.3,.300,3.0,4.8,.618,1.2,.686,5.2,1.1,0.5,0.8,8.3
281,Kawhi Leonard,LAC,1.8,4.8,.383,7.2,14.6,.493,6.0,.878,8.0,5.1,1.8,0.6,25.9
282,Meyers Leonard,MIA,0.9,1.9,.483,1.4,2.2,.652,0.3,.615,4.6,1.0,0.2,0.4,5.9
283,Caris LeVert,BRK,1.4,4.0,.361,5.1,11.6,.442,2.2,.645,5.0,4.0,0.7,0.1,16.8
284,Damian Lillard,POR,3.2,9.3,.349,5.1,9.7,.530,6.6,.897,4.2,7.5,1.0,0.4,26.6
285,Nassir Little,POR,0.3,1.5,.167,1.4,2.4,.563,0.8,.667,3.4,0.6,0.4,0.4,4.3
286,Kevon Looney,GSW,0.1,0.2,.500,1.0,3.0,.333,0.3,.600,2.9,0.4,0.3,0.2,2.6
287,Brook Lopez,MIL,1.5,4.9,.315,1.9,3.7,.500,1.7,.912,5.1,1.5,0.7,2.4,10.1
288,Robin Lopez,MIL,0.5,1.6,.288,1.6,2.6,.607,0.5,.625,2.6,0.7,0.2,0.6,5.1
289,Kevin Love,CLE,2.3,6.1,.373,3.0,5.8,.513,3.5,.850,10.7,2.9,0.6,0.4,16.2
290,Kyle Lowry,TOR,3.1,8.4,.365,3.0,6.2,.484,5.2,.860,5.1,7.6,1.2,0.4,20.4
291,Timothé Luwawu-Cabarrot,BRK,0.1,1.3,.111,1.0,2.3,.438,0.7,.833,1.3,0.3,0.1,0.0,3.1
292,Trey Lyles,SAS,0.8,2.2,.354,1.0,1.8,.569,0.3,.615,5.8,1.3,0.2,0.3,4.7
294,Daryl Macon,MIA,0.3,0.5,.500,0.0,0.3,.000,0.0,0,0.0,0.3,0.0,0.0,0.8
295,Josh Magette,ORL,0.0,0.0,0,0.7,2.0,.333,0.3,.500,1.0,0.7,0.7,0.0,1.7
296,Ian Mahinmi,WAS,0.1,0.7,.167,2.6,4.7,.548,2.2,.645,6.0,1.1,0.6,1.3,7.7
297,Thon Maker,DET,0.3,0.7,.421,0.9,1.6,.556,1.1,.633,2.0,0.4,0.3,0.6,3.6
298,Terance Mann,LAC,0.1,0.4,.222,0.9,1.5,.576,0.4,.800,1.1,1.3,0.3,0.1,2.4
299,Boban Marjanović,DAL,0.0,0.1,.000,2.4,4.2,.564,1.1,.700,4.5,0.5,0.2,0.2,5.8
300,Lauri Markkanen,CHI,2.0,6.0,.332,2.9,5.8,.492,2.9,.823,6.8,1.7,0.9,0.6,14.7
301,Caleb Martin,CHO,0.0,0.6,.000,0.6,1.4,.429,0.6,.600,1.0,0.6,0.2,0.4,1.8
302,Cody Martin,CHO,0.3,1.3,.233,1.0,2.0,.532,1.0,.686,2.6,1.3,0.8,0.2,4.0
303,Kelan Martin,MIN,0.7,2.8,.250,1.1,2.2,.500,0.0,0,2.6,0.3,0.2,0.1,4.3
304,Frank Mason,MIL,0.3,1.0,.250,0.0,0.8,.000,0.5,.500,0.5,1.3,0.3,0.0,1.3
305,Garrison Mathews,WAS,0.8,2.0,.375,0.1,0.1,1.000,0.8,.857,1.4,0.6,0.1,0.1,3.3
306,Wesley Matthews,MIL,1.7,4.3,.388,1.1,2.0,.532,1.0,.833,2.4,1.4,0.7,0.1,8.1
307,Patrick McCaw,TOR,0.7,2.3,.304,1.0,2.0,.500,0.3,.750,2.0,1.2,1.2,0.0,4.4
308,CJ McCollum,POR,2.7,7.1,.380,6.1,12.3,.497,2.0,.813,4.5,3.7,0.8,0.8,22.4
309,T.J. McConnell,IND,0.1,0.3,.300,3.2,6.0,.529,0.5,.933,2.6,5.0,0.6,0.2,7.1
310,Jalen McDaniels,CHO,0.0,0.5,.000,1.0,2.0,.500,0.0,0,0.5,0.0,0.0,0.0,2.0
311,Doug McDermott,IND,1.9,4.1,.460,1.7,3.5,.486,0.6,.792,2.9,1.2,0.1,0.1,9.6
312,JaVale McGee,LAL,0.0,0.0,1.000,3.1,5.0,.623,0.7,.618,6.0,0.6,0.5,1.5,7.0
313,Rodney McGruder,LAC,0.7,2.3,.306,0.8,1.6,.485,0.3,.500,2.8,0.7,0.5,0.2,4.0
315,Alfonzo McKinnie,CLE,0.4,1.3,.320,0.5,1.5,.357,0.4,.636,1.9,0.2,0.3,0.2,2.7
316,Jordan McLaughlin,MIN,0.8,2.8,.286,1.4,2.8,.500,0.8,1.000,1.8,2.4,0.8,0.0,6.0
317,Ben McLemore,HOU,2.5,6.9,.358,0.9,1.2,.711,1.0,.780,2.3,1.0,0.7,0.3,10.2
318,Jordan McRae,WAS,1.0,2.5,.394,2.3,4.5,.517,1.3,.895,2.4,2.8,0.6,0.3,8.9
319,Nicolò Melli,NOP,0.9,2.9,.306,0.8,1.3,.606,0.8,.750,2.4,1.0,0.6,0.2,5.1
320,De'Anthony Melton,MEM,0.6,1.6,.355,1.8,4.0,.443,1.5,.833,3.6,3.2,1.3,0.2,6.7
321,Chimezie Metu,SAS,0.0,0.0,0,1.2,2.2,.550,0.2,.500,1.8,0.2,0.1,0.3,2.7
322,Khris Middleton,MIL,2.2,5.2,.412,4.7,8.8,.539,2.6,.889,5.5,3.6,1.0,0.2,18.5
323,C.J. Miles,WAS,1.1,3.5,.314,0.8,2.4,.333,1.5,.750,1.2,1.2,1.0,0.4,6.4
324,Malcolm Miller,TOR,0.3,0.9,.333,0.1,0.2,.250,0.1,.167,0.8,0.4,0.2,0.1,1.1
325,Patty Mills,SAS,2.3,5.3,.429,1.8,3.6,.500,1.3,.760,1.5,2.1,0.9,0.2,11.7
326,Paul Millsap,DEN,1.1,2.3,.462,3.3,6.6,.492,2.7,.882,5.8,1.4,0.9,0.7,12.4
327,Shake Milton,PHI,0.4,1.9,.211,0.9,1.7,.529,0.7,.778,0.8,0.7,0.1,0.0,3.7
328,Donovan Mitchell,UTA,2.1,6.2,.346,7.1,14.4,.493,4.2,.839,4.6,4.0,1.2,0.3,24.8
329,Naz Mitrou-Long,IND,0.7,3.7,.182,1.3,1.7,.800,0.0,0,2.0,2.3,0.3,0.3,4.7
330,Malik Monk,CHO,1.0,3.7,.274,2.5,4.3,.591,1.2,.826,2.8,2.2,0.4,0.2,9.3
331,E'Twaun Moore,NOP,1.4,3.3,.409,2.2,5.1,.436,0.7,.636,3.0,1.6,0.5,0.1,9.2
332,Ja Morant,MEM,1.0,2.4,.400,5.8,12.0,.480,3.8,.793,3.2,6.5,1.2,0.3,18.2
333,Juwan Morgan,UTA,0.0,0.0,0,0.0,0.0,0,0.0,0,0.7,0.0,0.0,0.0,0.0
334,Marcus Morris,NYK,2.7,5.8,.466,3.3,8.2,.406,3.8,.854,5.6,1.4,0.9,0.5,18.4
336,Markieff Morris,DET,1.8,4.2,.417,2.3,4.4,.523,1.2,.745,4.0,1.7,0.6,0.2,11.1
337,Monte Morris,DEN,0.6,1.5,.409,2.2,5.1,.428,0.8,.758,1.6,3.3,0.7,0.3,7.0
338,Johnathan Motley,LAC,0.3,0.3,1.000,0.0,0.5,.000,0.0,0,0.5,0.8,0.8,0.0,0.8
339,Emmanuel Mudiay,UTA,0.6,1.6,.357,2.3,4.5,.512,1.1,.756,2.6,2.3,0.3,0.3,7.4
340,Dejounte Murray,SAS,0.3,1.3,.242,3.9,7.4,.531,1.7,.782,6.0,4.2,1.8,0.3,10.4
341,Jamal Murray,DEN,1.7,5.1,.325,4.9,9.9,.495,2.7,.900,4.3,4.5,1.4,0.3,17.5
342,Džanan Musa,BRK,0.4,2.2,.184,1.0,2.2,.449,1.0,.742,2.3,1.1,0.4,0.0,4.3
343,Mike Muscala,OKC,0.6,2.4,.261,0.4,0.9,.412,0.5,.900,1.9,0.7,0.2,0.2,3.1
344,Sviatoslav Mykhailiuk,DET,1.5,3.5,.429,0.5,1.3,.343,0.4,.786,1.2,1.3,0.5,0.1,5.8
345,Abdel Nader,OKC,1.1,2.6,.414,1.5,2.6,.579,1.1,.800,1.8,0.7,0.4,0.4,7.4
346,Larry Nance,CLE,1.0,3.0,.341,2.3,3.6,.622,1.0,.703,7.2,1.6,0.8,0.5,8.6
347,Shabazz Napier,MIN,1.0,4.2,.239,1.4,2.4,.590,1.5,.828,2.1,3.4,1.1,0.3,7.4
348,Raul Neto,PHI,0.6,1.3,.457,1.0,2.0,.509,0.2,.750,1.0,1.5,0.5,0.1,3.9
349,Georges Niang,UTA,0.9,2.2,.415,0.7,1.3,.548,0.3,.700,1.7,0.4,0.2,0.1,4.5
350,Nerlens Noel,OKC,0.0,0.0,0,3.1,4.7,.656,1.6,.821,4.9,1.3,1.0,1.4,7.8
351,Zach Norvell,LAL,0.0,0.0,0,0.0,0.5,.000,0.0,0,0.5,0.0,0.0,0.0,0.0
352,Jaylen Nowell,MIN,0.0,1.8,.000,1.4,1.4,1.000,1.0,1.000,0.4,1.0,0.0,0.0,3.8
353,Frank Ntilikina,NYK,0.8,2.5,.333,1.4,3.2,.426,0.6,.800,2.0,2.9,1.2,0.4,5.8
354,Kendrick Nunn,MIA,2.1,6.0,.350,4.4,8.4,.520,1.2,.783,2.7,3.6,1.0,0.2,16.2
355,David Nwaba,BRK,0.6,1.4,.429,1.3,2.2,.581,0.9,.667,2.3,0.4,0.6,0.6,5.2
357,Royce O'Neale,UTA,1.3,3.0,.429,1.0,2.0,.508,0.5,.778,4.8,2.5,0.9,0.3,6.4
358,Kyle O'Quinn,PHI,0.3,0.9,.375,1.0,1.8,.563,0.2,.375,3.4,1.3,0.1,0.7,3.2
359,Semi Ojeleye,BOS,0.5,1.5,.357,0.4,0.9,.458,0.3,.700,2.0,0.5,0.4,0.1,2.6
360,Jahlil Okafor,NOP,0.1,0.1,.500,3.3,5.4,.608,1.5,.651,4.6,1.5,0.3,0.8,8.2
361,Elie Okobo,PHO,0.5,1.5,.364,1.2,2.5,.491,1.1,.615,1.2,2.2,0.5,0.1,5.2
362,Josh Okogie,MIN,0.7,2.6,.282,1.8,3.8,.471,2.4,.795,4.6,1.5,0.9,0.4,8.2
363,KZ Okpala,MIA,0.0,0.0,0,0.0,0.0,0,0.0,0,0.3,0.0,0.0,0.0,0.0
364,Kelly Olynyk,MIA,1.5,3.6,.413,1.3,2.5,.507,1.5,.882,4.9,1.4,0.8,0.3,8.5
365,Miye Oni,UTA,0.0,0.0,0,0.0,0.0,0,0.0,0,0.3,0.0,0.0,0.0,0.0
