,Player,Tm,3P,3P%,2P,2P%,FT,FT%,TRB,AST,STL,BLK,PTS,2K
410,Domantas Sabonis,IND,0.3,0.267,6.8,0.527,3.3,0.735,13.5,3.9,0.8,0.6,17.8,
411,JaKarr Sampson,IND,0.2,0.2,2.2,0.688,0.2,0.286,2.7,0.4,0.5,0.6,5.2,
412,Dario Šarić,PHO,1.6,0.34,2.7,0.558,1.4,0.854,7.3,2.1,0.8,0.3,11.6,
413,Tomáš Satoranský,CHI,1.2,0.394,2.4,0.497,1.5,0.873,3.7,5.3,1.5,0.2,10,
414,Admiral Schofield,WAS,0.7,0.344,0.6,0.667,0.5,0.8,1.4,0.8,0.4,0.2,3.8,
415,Dennis Schröder,OKC,1.7,0.347,5.1,0.53,2.7,0.846,3.9,3.8,0.7,0.3,18.1,
416,Mike Scott,PHI,1.3,0.365,1.1,0.607,0.4,0.8,3.3,0.7,0.3,0.1,6.4,
417,Thabo Sefolosha,HOU,0.3,0.276,0.3,0.421,0,0,2.1,0.7,0.4,0.2,1.7,
418,Collin Sexton,CLE,0.9,0.283,6.1,0.496,3.1,0.821,3.1,2.4,1,0.1,17.8,
420,Landry Shamet,LAC,2,0.385,0.9,0.5,1.3,0.952,1.9,1.7,0.5,0.3,9.1,
421,Iman Shumpert,BRK,0.6,0.242,1,0.419,0.3,0.571,2.6,0.9,0.9,0.2,4.2,
422,Pascal Siakam,TOR,2.5,0.392,6.9,0.486,3.9,0.813,8,3.6,1,1,25.1,
423,Chris Silva,MIA,0,0,1.4,0.694,1.1,0.7,3.6,0.6,0.2,0.6,3.8,
424,Ben Simmons,PHI,0.1,0.4,5.8,0.565,2.6,0.588,7,8.5,2.1,0.6,14.4,
425,Anfernee Simons,POR,1.3,0.333,2.2,0.463,1.2,0.766,2.2,1.4,0.4,0.2,9.3,
426,Marcus Smart,BOS,2.1,0.333,2,0.465,1.5,0.879,3.4,4.6,1.3,0.5,11.8,
427,Dennis Smith,NYK,0.6,0.293,1.4,0.341,0.7,0.5,2.1,2.7,0.5,0.3,5.2,
428,Ish Smith,WAS,0.9,0.38,3.2,0.492,0.7,0.633,2.9,4.3,0.8,0.4,9.9,
429,Tony Snell,DET,2,0.443,0.9,0.51,0.4,1,1.9,1.4,0.5,0.1,8.2,
430,Omari Spellman,GSW,0.6,0.352,1.8,0.462,1.3,0.813,5.2,0.9,0.6,0.6,6.9,
431,Max Strus,CHI,0,0,1,1,0.5,1,0.5,0,0,0,2.5,
432,Edmond Sumner,IND,0.4,0.25,1.3,0.455,0.5,0.571,1.4,2.1,0.6,0.3,4.1,
433,Caleb Swanigan,SAC,0,0,0.2,0.5,0.2,0.5,1,0,0.2,0.4,0.6,
434,Jayson Tatum,BOS,2.5,0.356,5.3,0.459,3.4,0.844,7.1,2.8,1.4,0.8,21.6,
435,Jeff Teague,MIN,1.1,0.409,3.3,0.48,4.2,0.86,2.8,6.6,0.8,0.4,14,
436,Garrett Temple,BRK,2.2,0.339,1.7,0.522,1,0.769,3.2,2.5,0.9,0.5,11,
437,Daniel Theis,BOS,0.3,0.28,2.5,0.577,1,0.686,6.3,1.3,0.5,1.6,6.9,
438,Isaiah Thomas,WAS,2.2,0.426,2.8,0.465,1.4,0.811,1.7,4.8,0.4,0.2,13.6,
439,Khyri Thomas,DET,0,0,0,0,0.5,0.5,0,0,0,0,0.5,
441,Matt Thomas,TOR,1.2,0.538,0.5,0.545,0.3,0.6,1.1,0.3,0.3,0,4.8,
442,Tristan Thompson,CLE,0.1,0.429,5.5,0.513,1.6,0.548,10,2.3,0.8,1,12.9,
443,Matisse Thybulle,PHI,1,0.463,0.6,0.4,0.5,0.667,1.1,1.2,1.4,0.7,4.8,
444,Anthony Tolliver,POR,0.8,0.304,0.2,0.333,0.5,0.786,2.9,0.8,0.3,0.3,3.3,
445,Karl-Anthony Towns,MIN,3.6,0.418,5.4,0.604,4.9,0.796,11.7,4.4,1,1.3,26.5,
446,Gary Trent,POR,0.8,0.375,0.3,0.3,0.2,1,1.3,0.5,0.3,0.2,3.4,
447,Allonzo Trier,NYK,1,0.429,1.3,0.655,2.1,0.795,1.4,1.4,0.1,0.3,7.6,
448,P.J. Tucker,HOU,1.9,0.413,1.4,0.623,0.8,0.767,7.3,1.4,1.4,0.5,9.3,
449,Evan Turner,ATL,0,0,1.5,0.429,0.8,0.857,2.1,2.1,0.5,0.5,3.8,
450,Myles Turner,IND,1.6,0.366,2.8,0.529,1.7,0.722,5.7,1.2,0.7,2.3,12.1,
451,Jonas Valančiūnas,MEM,0.6,0.41,5.4,0.603,1.6,0.733,9.9,1.9,0.3,0.9,14.1,
452,Denzel Valentine,CHI,1.4,0.394,1,0.45,0.3,1,2,1.1,0.7,0.2,6.6,
453,Jarred Vanderbilt,DEN,0,0,0,0,0,0,0.7,0.3,0,0,0,
454,Fred VanVleet,TOR,2.4,0.367,3.2,0.424,4,0.868,3.9,7,1.9,0.2,17.8,
455,Noah Vonleh,MIN,0.1,0.077,1.4,0.622,1,0.833,3.8,1,0.4,0.2,4,
456,Nikola Vučević,ORL,1.2,0.315,5.7,0.493,2.5,0.787,10.9,3.3,0.8,1.1,17.6,
457,Dean Wade,CLE,0.3,1,0,0,0,0,0.7,0,0.3,0,1,
458,Moritz Wagner,WAS,1,0.393,3.4,0.683,1.7,0.837,6,1.3,0.7,0.6,11.6,
459,Kemba Walker,BOS,3.7,0.408,3.6,0.452,4.2,0.879,4.1,5.4,0.9,0.6,22.6,
460,Lonnie Walker,SAS,0.4,0.364,1.5,0.471,0.6,0.591,1.6,0.5,0.3,0.1,4.6,
462,Tyrone Wallace,ATL,0.1,0.067,0.9,0.448,0.8,0.647,1.6,0.9,0.5,0.1,2.9,
463,Taurean Waller-Prince,BRK,2.4,0.378,2,0.386,1,0.763,6.6,2.2,0.9,0.4,12.4,
464,Derrick Walton,LAC,0.4,0.429,0.3,0.625,0.4,0.857,0.7,1.1,0.3,0,2.3,
465,Brad Wanamaker,BOS,0.5,0.394,1.7,0.475,2,0.885,2.1,3,0.7,0.3,6.9,
466,T.J. Warren,IND,1.3,0.371,5.9,0.538,2.2,0.817,3.6,1.2,1,0.5,17.7,
467,PJ Washington,CHO,1.4,0.406,3.1,0.524,1.8,0.704,5.3,1.8,1,0.9,12.3,
468,Yuta Watanabe,MEM,0.3,0.5,0.5,0.5,0,0,1.3,0,0,0.3,1.8,
469,Tremont Waters,BOS,1,0.2,1,0.5,2,1,2,3,1,2,7,
470,Russell Westbrook,HOU,1.3,0.252,7.6,0.488,5,0.782,8,7.2,1.6,0.4,23.9,
471,Coby White,CHI,1.8,0.339,2.2,0.377,1.3,0.8,3.5,2.3,0.7,0.1,11.1,
472,Derrick White,SAS,0.9,0.417,2.6,0.514,1.9,0.797,2.7,3,0.6,0.6,9.9,
473,Hassan Whiteside,POR,0,0.5,6.4,0.608,2.6,0.766,13.5,1.3,0.5,2.8,15.5,
474,Andrew Wiggins,MIN,2.2,0.331,7.2,0.513,4,0.744,5.2,3.1,0.7,1.2,25,
475,Grant Williams,BOS,0.2,0.147,1,0.532,0.7,0.81,2.3,0.8,0.4,0.6,3.3,
476,Kenrich Williams,NOP,0.9,0.269,0.8,0.533,0.3,0.375,5.7,1.7,0.8,0.7,4.6,
477,Lou Williams,LAC,1.8,0.362,4.7,0.444,4.8,0.847,3,6.1,0.6,0.1,19.5,
478,Marvin Williams,CHO,1.3,0.409,1.4,0.574,1.1,0.914,2.8,1.1,0.7,0.5,7.8,
479,Robert Williams,BOS,0,0,1.7,0.673,0.4,0.571,4.6,1.1,0.9,1.1,3.9,
480,Nigel Williams-Goss,UTA,0,0,0,0,0.3,1,0.3,0.3,0,0.1,0.3,
481,D.J. Wilson,MIL,0.7,0.289,1.3,0.769,0.1,0.667,2.4,0.8,0,0.1,4.7,
483,Justise Winslow,MIA,0.6,0.231,4.4,0.436,1.8,0.667,7.1,4.3,0.6,0.4,12.4,
484,Christian Wood,DET,0.6,0.417,2.8,0.691,1.7,0.635,4.7,0.5,0.3,0.8,9,
485,Delon Wright,DAL,0.6,0.357,2.1,0.533,1.4,0.864,3.5,3.3,1.4,0.3,7.3,
486,Thaddeus Young,CHI,1.1,0.32,2.5,0.442,0.6,0.588,4.4,1.9,1,0.3,8.7,
487,Trae Young,ATL,3.5,0.366,6,0.504,6.6,0.849,4.4,8.5,1.3,0.1,29,
488,Cody Zeller,CHO,0.5,0.3,4.1,0.604,2.1,0.674,7.8,1.3,0.6,0.5,11.8,
489,Ante Žižić,CLE,0,0,1.8,0.552,0.6,0.833,2.6,0,0.2,0.2,4.1,
490,Ivica Zubac,LAC,0,0,3.2,0.602,1.8,0.753,6.4,0.9,0.2,0.9,8.3,
