,Player,Tm,3P,3P%,2P,2P%,FT,FT%,TRB,AST,STL,BLK,PTS,2K
222,Kevin Huerter,ATL,1.8,0.364,1.5,0.448,1.1,0.808,3.4,3.4,1,0.5,9.5,75
223,De'Andre Hunter,ATL,1.7,0.336,3,0.46,1.9,0.763,4,1.9,0.6,0.3,13,76
224,Chandler Hutchison,CHI,0.6,0.417,1.7,0.469,2.1,0.655,3.7,0.9,0.6,0.2,7.1,72
225,Serge Ibaka,TOR,0.8,0.327,4.5,0.506,2.3,0.807,7.5,1.3,0.5,1.1,13.7,80
226,Ersan İlyasova,MIL,0.8,0.329,2,0.625,1.3,0.783,4.8,0.9,0.5,0.3,7.7,78
227,Joe Ingles,UTA,1.9,0.384,1.4,0.494,1.1,0.81,4.4,4.2,1,0.1,9.5,76
228,Brandon Ingram,NOP,2.2,0.388,6.7,0.528,5,0.844,7.1,3.8,0.9,0.8,25,85
229,Kyrie Irving,BRK,2.8,0.341,7.4,0.503,5.4,0.937,5.4,7.2,1.1,0.5,28.5,91
231,Jonathan Isaac,ORL,1,0.341,3.7,0.51,1.9,0.803,7,1.4,1.4,2.6,12.4,82
232,Wesley Iwundu,ORL,0.1,0.077,0.9,0.385,1.1,0.85,1.9,0.9,0.6,0.2,3.1,71
233,Frank Jackson,NOP,0.8,0.299,1.4,0.434,1.1,0.813,1.3,0.9,0.4,0,6.3,72
234,Jaren Jackson,MEM,2.6,0.411,3.7,0.524,2.4,0.747,4.5,1.5,0.6,1.3,17.6,82
235,Justin Jackson,DAL,0.9,0.364,1.3,0.515,0.5,0.737,2.3,0.5,0.2,0.1,6,75
236,Reggie Jackson,DET,0.5,0.2,1.5,0.5,0.5,1,2.5,4,0,0,5,80
237,Justin James,SAC,0.5,0.316,1.3,0.472,0.2,0.222,1.8,0.8,0.3,0.5,4.2,69
238,LeBron James,LAL,2.2,0.356,7.8,0.558,3.6,0.677,7.5,10.6,1.2,0.6,25.8,97
239,Amile Jefferson,ORL,0,0,0.4,0.75,0,0,1,0.3,0,0,0.9,69
240,DaQuan Jeffries,SAC,0,0,0.5,1,0,0,0.5,0.5,0,0,1,69
241,Ty Jerome,PHO,0.6,0.3,1,0.345,0.4,0.8,1.7,2.2,1.1,0,4.2,72
242,Alize Johnson,IND,0,0,0.6,0.455,0.3,0.75,1.3,0.2,0,0,1.4,70
243,B.J. Johnson,ORL,0,0,0,0,0,0,0,0,0,0,0,68
244,Cameron Johnson,PHO,2.1,0.412,1.1,0.483,0.9,0.793,3.3,1,0.6,0.3,9.2,73
245,James Johnson,MIA,0.3,0.222,1,0.667,0.3,0.5,1.8,0.7,0.5,0.3,3.3,75
